Subject	Meta-Relation	Object
NELL:organizationhasbuilding	rdfs:range	NELL:building
NELL:organizationheadquarteredincity	rdfs:range	NELL:city
NELL:headquarteredin	rdfs:range	NELL:city
NELL:organizationheadquarteredincountry	rdfs:range	NELL:country
NELL:organizationheadquarteredinstateorprovince	rdfs:range	NELL:stateorprovince
NELL:hasofficeincountry	rdfs:range	NELL:country
NELL:bankbankincountry	rdfs:range	NELL:country
NELL:automobilemakerdealersincountry	rdfs:range	NELL:country
NELL:universityincity	rdfs:range	NELL:city
NELL:teamhomestadium	rdfs:range	NELL:stadiumoreventvenue
NELL:leaguestadiums	rdfs:range	NELL:stadiumoreventvenue
NELL:hasofficeincity	rdfs:range	NELL:city
NELL:radiostationincity	rdfs:range	NELL:city
NELL:automobilemakerdealersincity	rdfs:range	NELL:city
NELL:televisionstationincity	rdfs:range	NELL:city
NELL:teamplaysincity	rdfs:range	NELL:city
NELL:athletehomestadium	rdfs:range	NELL:stadiumoreventvenue
NELL:personhasresidenceinlocation	rdfs:range	NELL:location
NELL:personhasresidenceincity	rdfs:range	NELL:city
NELL:personhasresidenceincountry	rdfs:range	NELL:country
NELL:personhasresidenceinstateorprovince	rdfs:range	NELL:stateorprovince
NELL:personmovedtostateorprovince	rdfs:range	NELL:stateorprovince
NELL:malemovedtostateorprovince	rdfs:range	NELL:stateorprovince
NELL:personhasresidenceingeopoliticallocation	rdfs:range	NELL:geopoliticallocation
NELL:inverseofdiseasecausesphysiologicalcondition	rdfs:range	NELL:disease
NELL:clothmadeofplant	rdfs:range	NELL:plant
NELL:locationofroadaccident	rdfs:range	NELL:roadaccidentevent
NELL:fooddecreasestheriskofdisease	rdfs:range	NELL:disease
NELL:officeheldbypolitician	rdfs:range	NELL:politician
NELL:officeheldbypoliticianus	rdfs:range	NELL:politicianus
NELL:roadaccidentcasualtiesnumber	rdfs:range	NELL:nonneginteger
NELL:athleteplayssport	rdfs:range	NELL:sport
NELL:arthropodthatfeedoninsect	rdfs:range	NELL:insect
NELL:bacteriaisthecausativeagentofphysiologicalcondition	rdfs:range	NELL:physiologicalcondition
NELL:injuredinbombing	rdfs:range	NELL:bombingevent
NELL:coachstudiedatuniversity	rdfs:range	NELL:university
NELL:inverseofemotionassocietedwithdisease	rdfs:range	NELL:emotion
NELL:dateofevent	rdfs:range	NELL:event
NELL:economicsectorcompany	rdfs:range	NELL:company
NELL:companyproducesvideogamesystem	rdfs:range	NELL:videogamesystem
NELL:sportsteampositionreceivedathlete	rdfs:range	NELL:athlete
NELL:scoreofsportsgame	rdfs:range	NELL:sportsgame
NELL:concepthasprerequisite	rdfs:range	NELL:scientificterm
NELL:inverseofislandhasskiarea	rdfs:range	NELL:island
NELL:persondiedatage	rdfs:range	NELL:nonneginteger
NELL:personinacademicfield	rdfs:range	NELL:academicfield
NELL:inverseofmusicsongisatrackofmusicalbum	rdfs:range	NELL:musicsong
NELL:inverseofsoftwareprogrammedinprogramminglanguage	rdfs:range	NELL:software
NELL:commentatorofearthquake	rdfs:range	NELL:earthquakeevent
NELL:currencycountry	rdfs:range	NELL:country
NELL:earthquakehadmagnitude	rdfs:range	NELL:everypromotedthing
NELL:numberofinjuredinprotest	rdfs:range	NELL:protestevent
NELL:timeofbombing	rdfs:range	NELL:bombingevent
NELL:countrylanguage	rdfs:range	NELL:language
NELL:personineconomicsector	rdfs:range	NELL:economicsector
NELL:religionofperson	rdfs:range	NELL:person
NELL:sportteam	rdfs:range	NELL:sportsteam
NELL:plantgrowinginplant	rdfs:range	NELL:plant
NELL:inverseofsportfansincountry	rdfs:range	NELL:sport
NELL:latitudelongitudeof	rdfs:range	NELL:everypromotedthing
NELL:agentinvolvedwithitem	rdfs:range	NELL:item
NELL:cafeservescoffeedrink	rdfs:range	NELL:coffeedrink
NELL:musicianplaysinstrument	rdfs:range	NELL:musicinstrument
NELL:producesproduct	rdfs:range	NELL:product
NELL:automakerproducesmodel	rdfs:range	NELL:automobilemodel
NELL:agentworkedondrug	rdfs:range	NELL:drug
NELL:mlauthorofsoftware	rdfs:range	NELL:mlsoftware
NELL:wineryproduceswine	rdfs:range	NELL:wine
NELL:producesproducttype	rdfs:range	NELL:item
NELL:moviethatgeneratestelevisionshow	rdfs:range	NELL:televisionshow
NELL:visualartistartform	rdfs:range	NELL:visualartform
NELL:inverseofdateofevent	rdfs:range	NELL:date
NELL:agentinteractswithagent	rdfs:range	NELL:agent
NELL:hasfamilymember	rdfs:range	NELL:person
NELL:hassibling	rdfs:range	NELL:person
NELL:sisterof	rdfs:range	NELL:person
NELL:brotherof	rdfs:range	NELL:person
NELL:hasbrother	rdfs:range	NELL:male
NELL:hassister	rdfs:range	NELL:female
NELL:parentofperson	rdfs:range	NELL:person
NELL:fatherofperson	rdfs:range	NELL:person
NELL:biologicalfatherofperson	rdfs:range	NELL:person
NELL:motherofperson	rdfs:range	NELL:person
NELL:biologicalmotherofperson	rdfs:range	NELL:person
NELL:personhasparent	rdfs:range	NELL:person
NELL:personhasfather	rdfs:range	NELL:male
NELL:personhasbiologicalfather	rdfs:range	NELL:male
NELL:personhasmother	rdfs:range	NELL:female
NELL:personhasbiologicalmother	rdfs:range	NELL:female
NELL:hasspouse	rdfs:range	NELL:person
NELL:husbandof	rdfs:range	NELL:person
NELL:hashusband	rdfs:range	NELL:male
NELL:haswife	rdfs:range	NELL:female
NELL:wifeof	rdfs:range	NELL:person
NELL:agentcompeteswithagent	rdfs:range	NELL:agent
NELL:competeswith	rdfs:range	NELL:company
NELL:teamplaysagainstteam	rdfs:range	NELL:sportsteam
NELL:animalpredators	rdfs:range	NELL:animal
NELL:inverseofarachnidiseatenbybird	rdfs:range	NELL:arachnid
NELL:inverseofanimalfeedoninsect	rdfs:range	NELL:animal
NELL:inverseofmammaleatsinsect	rdfs:range	NELL:mammal
NELL:animalpreyson	rdfs:range	NELL:animal
NELL:arachnidiseatenbybird	rdfs:range	NELL:bird
NELL:animalthatfeedoninsect	rdfs:range	NELL:insect
NELL:mammaleatsinsect	rdfs:range	NELL:insect
NELL:agentcollaborateswithagent	rdfs:range	NELL:agent
NELL:directorworkedwithactor	rdfs:range	NELL:actor
NELL:actorworkedwithdirector	rdfs:range	NELL:director
NELL:companyhasshareholder	rdfs:range	NELL:agent
NELL:agentholdssharesincompany	rdfs:range	NELL:company
NELL:politicianendorsedbypolitician	rdfs:range	NELL:politician
NELL:politicianusendorsedbypoliticianus	rdfs:range	NELL:politicianus
NELL:politicianendorsespolitician	rdfs:range	NELL:politician
NELL:politicianusendorsespoliticianus	rdfs:range	NELL:politicianus
NELL:agenthierarchicallybelowagent	rdfs:range	NELL:agent
NELL:athletecoach	rdfs:range	NELL:coach
NELL:agentbelongstoorganization	rdfs:range	NELL:organization
NELL:subpartoforganization	rdfs:range	NELL:organization
NELL:televisionstationaffiliatedwith	rdfs:range	NELL:televisionnetwork
NELL:teamplaysinleague	rdfs:range	NELL:sportsleague
NELL:acquiredby	rdfs:range	NELL:company
NELL:inverseofbankboughtbank	rdfs:range	NELL:bank
NELL:agentrepresentsorganization	rdfs:range	NELL:organization
NELL:agentleadsorganization	rdfs:range	NELL:organization
NELL:personleadsorganization	rdfs:range	NELL:organization
NELL:topmemberoforganization	rdfs:range	NELL:company
NELL:ceoof	rdfs:range	NELL:company
NELL:inverseofautomobilemakerchiefexecutiveceo	rdfs:range	NELL:automobilemaker
NELL:inverseofbankchiefexecutiveceo	rdfs:range	NELL:bank
NELL:personleadsgeopoliticalorganization	rdfs:range	NELL:geopoliticalorganization
NELL:personleadscity	rdfs:range	NELL:city
NELL:personbelongstoorganization	rdfs:range	NELL:organization
NELL:athleteplayedforschool	rdfs:range	NELL:school
NELL:athleteplaysforteam	rdfs:range	NELL:sportsteam
NELL:athleteledsportsteam	rdfs:range	NELL:sportsteam
NELL:worksfor	rdfs:range	NELL:organization
NELL:personhiredbyorganization	rdfs:range	NELL:organization
NELL:coachesteam	rdfs:range	NELL:sportsteam
NELL:personterminatedbyorganization	rdfs:range	NELL:organization
NELL:journalistwritesforpublication	rdfs:range	NELL:publication
NELL:politicianmemberofpoliticsgroup	rdfs:range	NELL:politicsgroup
NELL:politicianusmemberofpoliticalgroup	rdfs:range	NELL:politicsgroup
NELL:coachesinleague	rdfs:range	NELL:sportsleague
NELL:musicianinmusicartist	rdfs:range	NELL:musicartist
NELL:personattendsschool	rdfs:range	NELL:school
NELL:persongraduatedschool	rdfs:range	NELL:school
NELL:persongraduatedfromuniversity	rdfs:range	NELL:university
NELL:athleteplaysinleague	rdfs:range	NELL:sportsleague
NELL:teammate	rdfs:range	NELL:athlete
NELL:agenthierarchicallyaboveagent	rdfs:range	NELL:agent
NELL:organizationhasagent	rdfs:range	NELL:humanagent
NELL:organizationrepresentedbyagent	rdfs:range	NELL:humanagent
NELL:organizationleadbyagent	rdfs:range	NELL:humanagent
NELL:organizationleadbyperson	rdfs:range	NELL:person
NELL:organizationhastopmember	rdfs:range	NELL:person
NELL:companyceo	rdfs:range	NELL:ceo
NELL:automobilemakerchiefexecutiveceo	rdfs:range	NELL:ceo
NELL:bankchiefexecutiveceo	rdfs:range	NELL:ceo
NELL:geopoliticalorganizationleadbyperson	rdfs:range	NELL:person
NELL:cityleadbyperson	rdfs:range	NELL:politician
NELL:superpartoforganization	rdfs:range	NELL:organization
NELL:acquired	rdfs:range	NELL:company
NELL:bankboughtbank	rdfs:range	NELL:bank
NELL:leagueteams	rdfs:range	NELL:sportsteam
NELL:televisioncompanyaffiliate	rdfs:range	NELL:televisionstation
NELL:organizationhasperson	rdfs:range	NELL:person
NELL:inverseofathleteplayedforschool	rdfs:range	NELL:athlete
NELL:schoolattendedbyperson	rdfs:range	NELL:person
NELL:schoolgraduatedperson	rdfs:range	NELL:person
NELL:inverseofpersongraduatedfromuniversity	rdfs:range	NELL:person
NELL:worker	rdfs:range	NELL:person
NELL:organizationterminatedperson	rdfs:range	NELL:person
NELL:publicationjournalist	rdfs:range	NELL:journalist
NELL:teamcoach	rdfs:range	NELL:coach
NELL:organizationhiredperson	rdfs:range	NELL:person
NELL:leagueplayers	rdfs:range	NELL:athlete
NELL:leaguecoaches	rdfs:range	NELL:coach
NELL:musicartistmusician	rdfs:range	NELL:musician
NELL:politicalgroupofpolitician	rdfs:range	NELL:politician
NELL:politicalgroupofpoliticianus	rdfs:range	NELL:politicianus
NELL:teammember	rdfs:range	NELL:athlete
NELL:inverseofathleteledsportsteam	rdfs:range	NELL:athlete
NELL:coachesathlete	rdfs:range	NELL:athlete
NELL:commentatorofprotest	rdfs:range	NELL:protestevent
NELL:bombingattacker	rdfs:range	NELL:agent
NELL:roadaccidentinjured	rdfs:range	NELL:person
NELL:agentstudiesphysiologicalcondition	rdfs:range	NELL:physiologicalcondition
NELL:plantrepresentemotion	rdfs:range	NELL:emotion
NELL:earthquakehadsource	rdfs:range	NELL:everypromotedthing
NELL:astronautwasonamissionwithastronaut	rdfs:range	NELL:astronaut
NELL:deathageofperson	rdfs:range	NELL:person
NELL:equipmentusedbysport	rdfs:range	NELL:sport
NELL:agentcreated	rdfs:range	NELL:everypromotedthing
NELL:agentcreatedorganization	rdfs:range	NELL:organization
NELL:agentcausedevent	rdfs:range	NELL:event
NELL:inverseofclothmadeofplant	rdfs:range	NELL:clothing
NELL:earthquakeinjured	rdfs:range	NELL:victim
NELL:timeofearthquake	rdfs:range	NELL:earthquakeevent
NELL:roadaccidenthadvictim	rdfs:range	NELL:person
NELL:inverseofattractionmadeofbuildingmaterial	rdfs:range	NELL:attraction
NELL:agriculturalproductgrowninlandscapefeatures	rdfs:range	NELL:landscapefeatures
NELL:bombingwitness	rdfs:range	NELL:person
NELL:injuredinprotest	rdfs:range	NELL:protestevent
NELL:physiologicalconditionstudedbyperson	rdfs:range	NELL:person
NELL:sportusesequipment	rdfs:range	NELL:sportsequipment
NELL:inverseofbacteriaisthecausativeagentofphysiologicalcondition	rdfs:range	NELL:bacteria
NELL:arthropodbesometimesconfusewithinsect	rdfs:range	NELL:insect
NELL:mutualproxyfor	rdfs:range	NELL:everypromotedthing
NELL:isoneoccurrenceof	rdfs:range	NELL:everypromotedthing
NELL:proxyfor	rdfs:range	NELL:everypromotedthing
NELL:citystadiums	rdfs:range	NELL:stadiumoreventvenue
NELL:citysportsteams	rdfs:range	NELL:sportsteam
NELL:ismultipleof	rdfs:range	NELL:everypromotedthing
NELL:proxyof	rdfs:range	NELL:everypromotedthing
NELL:countryleadbyperson	rdfs:range	NELL:politician
NELL:statehascapital	rdfs:range	NELL:city
NELL:countrycapital	rdfs:range	NELL:city
NELL:synonymfor	rdfs:range	NELL:everypromotedthing
NELL:personalsoknownas	rdfs:range	NELL:person
NELL:coachalsoknownas	rdfs:range	NELL:coach
NELL:athletealsoknownas	rdfs:range	NELL:athlete
NELL:organizationalsoknownas	rdfs:range	NELL:organization
NELL:organizationacronymhasname	rdfs:range	NELL:organization
NELL:companyalsoknownas	rdfs:range	NELL:company
NELL:teamalsoknownas	rdfs:range	NELL:sportsteam
NELL:organizationnamehasacronym	rdfs:range	NELL:organization
NELL:stadiumalsoknownas	rdfs:range	NELL:stadiumoreventvenue
NELL:countryalsoknownas	rdfs:range	NELL:country
NELL:arthropodcalledarthropod	rdfs:range	NELL:arthropod
NELL:cityalsoknownas	rdfs:range	NELL:city
NELL:inverseofarthropodcalledarthropod	rdfs:range	NELL:arthropod
NELL:languageofuniversity	rdfs:range	NELL:university
NELL:drughassideeffect	rdfs:range	NELL:physiologicalcondition
NELL:drugpossiblytreatsphysiologicalcondition	rdfs:range	NELL:physiologicalcondition
NELL:istallerthan	rdfs:range	NELL:everypromotedthing
NELL:inverseofautomobilemakercardealersinstateorprovince	rdfs:range	NELL:automobilemaker
NELL:inverseofmammalinducesemotion	rdfs:range	NELL:mammal
NELL:inverseoflanguagespokenatisland	rdfs:range	NELL:language
NELL:numberofinjuredinroadaccident	rdfs:range	NELL:roadaccidentevent
NELL:ethnicgroupofperson	rdfs:range	NELL:person
NELL:politicianuswenttoschool	rdfs:range	NELL:school
NELL:inverseofcoachcanspeaklanguage	rdfs:range	NELL:coach
NELL:numberofcasualtiesinearthquake	rdfs:range	NELL:earthquakeevent
NELL:automobilemakercardealersinstateorprovince	rdfs:range	NELL:stateorprovince
NELL:buildingfeaturemadefrombuildingmaterial	rdfs:range	NELL:buildingmaterial
NELL:personwrittenaboutinpublication	rdfs:range	NELL:publication
NELL:sportsgamesport	rdfs:range	NELL:sport
NELL:academicfieldusedinjobposition	rdfs:range	NELL:jobposition
NELL:inverseofagriculturalproductcontainchemical	rdfs:range	NELL:agriculturalproduct
NELL:issueofpoliticsbill	rdfs:range	NELL:politicsbill
NELL:academicfieldusedbyeconomicsector	rdfs:range	NELL:economicsector
NELL:grainusedtomakecandy	rdfs:range	NELL:candy
NELL:players	rdfs:range	NELL:athlete
NELL:eventcausedbyevent	rdfs:range	NELL:event
NELL:launchingproducttype	rdfs:range	NELL:product
NELL:sportnamehasoriginlanguage	rdfs:range	NELL:language
NELL:sportusesstadium	rdfs:range	NELL:stadiumoreventvenue
NELL:inverseofagriculturalproductcutintogeometricshape	rdfs:range	NELL:agriculturalproduct
NELL:universityoperatesinlanguage	rdfs:range	NELL:language
NELL:meetingeventtitlehasmeetingeventtype	rdfs:range	NELL:meetingeventtype
NELL:prodctlaunchingproductprice	rdfs:range	NELL:nonneginteger
NELL:bombingcausedbyexplosive	rdfs:range	NELL:chemical
NELL:inverseofbeveragemadefrombeverage	rdfs:range	NELL:beverage
NELL:arthropodcanbeveryirritatingtomammal	rdfs:range	NELL:mammal
NELL:scenecontainsobject	rdfs:range	NELL:visualizableobject
NELL:companyofproductlaunch	rdfs:range	NELL:productlaunchevent
NELL:agentcontributedtocreativework	rdfs:range	NELL:creativework
NELL:directordirectedmovie	rdfs:range	NELL:movie
NELL:writerwrotebook	rdfs:range	NELL:book
NELL:actorstarredinmovie	rdfs:range	NELL:movie
NELL:protesthadactor	rdfs:range	NELL:person
NELL:injuredinroadaccident	rdfs:range	NELL:roadaccidentevent
NELL:stateorprovinceisborderedbystateorprovince	rdfs:range	NELL:stateorprovince
NELL:subjectconcernedbyacademicfield	rdfs:range	NELL:academicfield
NELL:subfieldofacademicfield	rdfs:range	NELL:academicfield
NELL:beveragecansoftendisease	rdfs:range	NELL:disease
NELL:attackerinbombing	rdfs:range	NELL:bombingevent
NELL:meatcomesfromanimal	rdfs:range	NELL:animal
NELL:athleteflyouttosportsteamposition	rdfs:range	NELL:sportsteamposition
NELL:inverseoflanguegeschoolincity	rdfs:range	NELL:language
NELL:economicsectorhasperson	rdfs:range	NELL:person
NELL:reasonofcollision	rdfs:range	NELL:roadaccidentevent
NELL:locatedat	rdfs:range	NELL:everypromotedthing
NELL:mountainatgeopoliticallocation	rdfs:range	NELL:geopoliticallocation
NELL:inverseofawardtrophytournamentwasawardedonstadium	rdfs:range	NELL:awardtrophytournament
NELL:visualappearanceof	rdfs:range	NELL:visualizablething
NELL:locationinzipcode	rdfs:range	NELL:zipcode
NELL:wikipediaurlof	rdfs:range	NELL:everypromotedthing
NELL:placeofworshippracticesreligion	rdfs:range	NELL:religion
NELL:riverflowsthroughcity	rdfs:range	NELL:city
NELL:locationofitemuse	rdfs:range	NELL:item
NELL:locationrelatedtoagent	rdfs:range	NELL:agent
NELL:countryisthehomeofsportsteam	rdfs:range	NELL:sportsteam
NELL:inverseofcriminalarrestedincountry	rdfs:range	NELL:criminal
NELL:countryhascitizen	rdfs:range	NELL:person
NELL:websiteoperatedbyagent	rdfs:range	NELL:agent
NELL:officialwebsiteoforganization	rdfs:range	NELL:organization
NELL:inverseofnewpaperhaswebsite	rdfs:range	NELL:newspaper
NELL:locationactedinbyagent	rdfs:range	NELL:agent
NELL:inverseofcoachworksincountry	rdfs:range	NELL:coach
NELL:locationofpersondeath	rdfs:range	NELL:person
NELL:cityofpersondeath	rdfs:range	NELL:person
NELL:stateorprovinceofpersondeath	rdfs:range	NELL:person
NELL:countryofpersondeath	rdfs:range	NELL:person
NELL:locationofpersonbirth	rdfs:range	NELL:person
NELL:stateorprovinceofpersonbirth	rdfs:range	NELL:person
NELL:countryofpersonbirth	rdfs:range	NELL:person
NELL:cityofpersonbirth	rdfs:range	NELL:person
NELL:inverseofwriterwasbornincity	rdfs:range	NELL:person
NELL:locationresidenceofperson	rdfs:range	NELL:person
NELL:stateorprovinceresidenceofperson	rdfs:range	NELL:person
NELL:countryresidenceofperson	rdfs:range	NELL:person
NELL:cityresidenceofperson	rdfs:range	NELL:person
NELL:inverseofpersonmovedtostateorprovince	rdfs:range	NELL:person
NELL:inverseofmalemovedtostateorprovince	rdfs:range	NELL:male
NELL:geopoliticallocationresidenceofpersion	rdfs:range	NELL:person
NELL:citynewspaper	rdfs:range	NELL:newspaper
NELL:locationactedinbyorganization	rdfs:range	NELL:organization
NELL:buildingbelongstoorganization	rdfs:range	NELL:organization
NELL:countryoforganizationheadquarters	rdfs:range	NELL:organization
NELL:stateorprovinceoforganizationheadquarters	rdfs:range	NELL:organization
NELL:cityoforganizationheadquarters	rdfs:range	NELL:organization
NELL:companiesheadquarteredhere	rdfs:range	NELL:company
NELL:cityuniversities	rdfs:range	NELL:university
NELL:stadiumhometeam	rdfs:range	NELL:sportsteam
NELL:cityhascompanyoffice	rdfs:range	NELL:company
NELL:citytelevisionstation	rdfs:range	NELL:televisionstation
NELL:inverseofautomobilemakerdealersincity	rdfs:range	NELL:automobilemaker
NELL:cityradiostation	rdfs:range	NELL:radiostation
NELL:countryhascompanyoffice	rdfs:range	NELL:company
NELL:inverseofbankbankincountry	rdfs:range	NELL:bank
NELL:inverseofautomobilemakerdealersincountry	rdfs:range	NELL:automobilemaker
NELL:stadiumhometoleague	rdfs:range	NELL:sportsleague
NELL:stadiumhometoathlete	rdfs:range	NELL:athlete
NELL:locationrepresentedbypolitician	rdfs:range	NELL:politician
NELL:inverseofriveremptiesintoriver	rdfs:range	NELL:river
NELL:locationofevent	rdfs:range	NELL:event
NELL:buildinghostsmeetingeventtitle	rdfs:range	NELL:meetingeventtitle
NELL:officebuildingroomhostsmeetingeventtitle	rdfs:range	NELL:meetingeventtitle
NELL:locationofitemexistence	rdfs:range	NELL:item
NELL:inverseofvegetableisproducedatcountry	rdfs:range	NELL:vegetable
NELL:inverseofweaponmadeincountry	rdfs:range	NELL:weapon
NELL:inverseofagriculturalproductcamefromcountry	rdfs:range	NELL:agriculturalproduct
NELL:countryproducesproduct	rdfs:range	NELL:product
NELL:inverseofagriculturalproductgrowinginstateorprovince	rdfs:range	NELL:agriculturalproduct
NELL:farmproducesagriculturalproduct	rdfs:range	NELL:agriculturalproduct
NELL:inverseofvegetableproductioninstateorprovince	rdfs:range	NELL:vegetable
NELL:roomcancontainitem	rdfs:range	NELL:item
NELL:roomcancontainfurniture	rdfs:range	NELL:furniture
NELL:locationcontainslocation	rdfs:range	NELL:location
NELL:inverseofhotelwasbuiltatfarm	rdfs:range	NELL:hotel
NELL:skyscrapercontainsrestaurant	rdfs:range	NELL:restaurant
NELL:buildinghasofficebuildingroom	rdfs:range	NELL:officebuildingroom
NELL:geopoliticallocationcontainscountry	rdfs:range	NELL:country
NELL:geopoliticallocationcontainscity	rdfs:range	NELL:city
NELL:statecontainscity	rdfs:range	NELL:city
NELL:countrycities	rdfs:range	NELL:city
NELL:cityattractions	rdfs:range	NELL:attraction
NELL:cityhostsattraction	rdfs:range	NELL:attraction
NELL:cityparks	rdfs:range	NELL:park
NELL:cityhastransportation	rdfs:range	NELL:transportation
NELL:citymuseums	rdfs:range	NELL:museum
NELL:cityaquariums	rdfs:range	NELL:aquarium
NELL:cityzoos	rdfs:range	NELL:zoo
NELL:cityhasstreet	rdfs:range	NELL:street
NELL:statehaslake	rdfs:range	NELL:lake
NELL:statecontainsfarm	rdfs:range	NELL:farm
NELL:geopoliticallocationcontainsstate	rdfs:range	NELL:stateorprovince
NELL:countrystates	rdfs:range	NELL:stateorprovince
NELL:citycontainsbuilding	rdfs:range	NELL:building
NELL:cityrestaurants	rdfs:range	NELL:restaurant
NELL:cityhasshoppingmall	rdfs:range	NELL:shoppingmall
NELL:cityhasairport	rdfs:range	NELL:airport
NELL:cityhashospital	rdfs:range	NELL:hospital
NELL:cityhotels	rdfs:range	NELL:hotel
NELL:statehasmountain	rdfs:range	NELL:mountain
NELL:countrycontainsfarm	rdfs:range	NELL:farm
NELL:cityhastrainstation	rdfs:range	NELL:trainstation
NELL:actorofprotest	rdfs:range	NELL:protestevent
NELL:competitorofproductlaunch	rdfs:range	NELL:productlaunchevent
NELL:inverseofprofessionactsatthesameareaofpoliticissue	rdfs:range	NELL:politicsissue
NELL:prodctlaunchingproductcompetitor	rdfs:range	NELL:product
NELL:inverseofagriculturalproductcookedwithagricultureproduct	rdfs:range	NELL:agriculturalproduct
NELL:inverseofsportschoolincountry	rdfs:range	NELL:sport
NELL:inverseofpoliticianuswenttoschool	rdfs:range	NELL:politicianus
NELL:inverseoffoodcancausedisease	rdfs:range	NELL:food
NELL:inverseofinvertebrateturnintoinsect	rdfs:range	NELL:invertebrate
NELL:animaldevelopdisease	rdfs:range	NELL:disease
NELL:victiminprotest	rdfs:range	NELL:protestevent
NELL:epicenterofearthquake	rdfs:range	NELL:earthquakeevent
NELL:inverseofawardtrophytournamentisthechampionshipgameofthenationalsport	rdfs:range	NELL:awardtrophytournament
NELL:producttypeofproductlaunch	rdfs:range	NELL:productlaunchevent
NELL:damagedinprotest	rdfs:range	NELL:protestevent
NELL:itemusedwithitem	rdfs:range	NELL:item
NELL:vegetablecanbeservedwithgrain	rdfs:range	NELL:grain
NELL:inverseofvegetablecanbeservedwithgrain	rdfs:range	NELL:vegetable
NELL:clothingtogowithclothing	rdfs:range	NELL:clothing
NELL:inverseofbakedgoodservedwithbeverage	rdfs:range	NELL:bakedgood
NELL:bakedgoodservedwithbeverage	rdfs:range	NELL:beverage
NELL:victiminroadaccident	rdfs:range	NELL:roadaccidentevent
NELL:inverseofstadiumoreventvenuedisclosescompany	rdfs:range	NELL:stadiumoreventvenue
NELL:languageofcountry	rdfs:range	NELL:country
NELL:createdbyagent	rdfs:range	NELL:agent
NELL:organizationcreatedbyperson	rdfs:range	NELL:person
NELL:eventcausedbyagent	rdfs:range	NELL:agent
NELL:typeproducedby	rdfs:range	NELL:company
NELL:producedby	rdfs:range	NELL:company
NELL:automodelproducedbymaker	rdfs:range	NELL:automobilemaker
NELL:mlsoftwareauthor	rdfs:range	NELL:mlauthor
NELL:latitudelongitude	rdfs:range	NELL:llcoordinate
NELL:roadaccidentcomentedby	rdfs:range	NELL:person
NELL:citylanguage	rdfs:range	NELL:language
NELL:inverseofmusicalartisthadapetanimal	rdfs:range	NELL:musicartist
NELL:inverseoffishservedwithfood	rdfs:range	NELL:fish
NELL:thinghascolor	rdfs:range	NELL:color
NELL:invertebratehascolor	rdfs:range	NELL:color
NELL:bombingtarget	rdfs:range	NELL:everypromotedthing
NELL:inverseofarthropodlooklikeinsect	rdfs:range	NELL:arthropod
NELL:politicsbillsponsoredbypolitician	rdfs:range	NELL:politician
NELL:politicsbillsponsoredbypoliticianus	rdfs:range	NELL:politicianus
NELL:sportsteampositionforsport	rdfs:range	NELL:sport
NELL:inverseofastronautwasonamissionwithastronaut	rdfs:range	NELL:astronaut
NELL:damagedinearthquake	rdfs:range	NELL:earthquakeevent
NELL:attractionmadeofbuildingmaterial	rdfs:range	NELL:buildingmaterial
NELL:objectcontainsobject	rdfs:range	NELL:visualizableobject
NELL:academicprogramatuniversity	rdfs:range	NELL:university
NELL:bombinginjuried	rdfs:range	NELL:person
NELL:predecessorofproductlaunch	rdfs:range	NELL:productlaunchevent
NELL:specializationof	rdfs:range	NELL:everypromotedthing
NELL:crustaceanisatypeofarthropod	rdfs:range	NELL:crustacean
NELL:inverseoftoolssuchastools	rdfs:range	NELL:tool
NELL:inverseofcountriessuchascountries	rdfs:range	NELL:country
NELL:inverseofvideogamessuchasvideogames	rdfs:range	NELL:videogame
NELL:inverseofprofessionssuchasprofessions	rdfs:range	NELL:profession
NELL:inverseofreligionssuchasreligions	rdfs:range	NELL:religion
NELL:inverseofconferencessuchasconferences	rdfs:range	NELL:conference
NELL:inverseofmoviessuchasmovies	rdfs:range	NELL:movie
NELL:inverseofmusicgenressuchasmusicgenres	rdfs:range	NELL:musicgenre
NELL:inverseofcriminalssuchascriminals	rdfs:range	NELL:criminal
NELL:inverseofmusicfestivalssuchasmusicfestivals	rdfs:range	NELL:musicfestival
NELL:inverseofweaponssuchasweapons	rdfs:range	NELL:weapon
NELL:inverseoftelevisionshowssuchastelevisionshows	rdfs:range	NELL:televisionshow
NELL:inverseofanimalssuchasmammals	rdfs:range	NELL:animal
NELL:inverseofhobbiessuchashobbies	rdfs:range	NELL:hobby
NELL:inverseofarchaeasuchasarchaea	rdfs:range	NELL:archaea
NELL:inverseofamphibiansuchasamphibian	rdfs:range	NELL:amphibian
NELL:inverseofaquariumsuchasaquarium	rdfs:range	NELL:aquarium
NELL:inverseofbooksuchasbook	rdfs:range	NELL:book
NELL:inverseofplantincludeplant	rdfs:range	NELL:plant
NELL:inverseofarchitectssuchasarchitects	rdfs:range	NELL:architect
NELL:inverseofastronautsuchasastronaut	rdfs:range	NELL:astronaut
NELL:inverseofactorsuchasactor	rdfs:range	NELL:actor
NELL:professionistypeofprofession	rdfs:range	NELL:profession
NELL:inverseofmammalsuchasmammal	rdfs:range	NELL:mammal
NELL:inverseofacademicfieldsuchasacademicfield	rdfs:range	NELL:academicfield
NELL:productinstanceof	rdfs:range	NELL:item
NELL:inverseofarachnidssuchasarachnides	rdfs:range	NELL:arachnid
NELL:vehicleistypeofvehicle	rdfs:range	NELL:vehicle
